0	2026-06-25 16:32:33	#ARC-FILE#	1.1a	2026-05-01	2026-05-31	COBAS INTEGRA400	400252	3.6.2.1904 (1904)	CHARLES DRALEKU																
10	2026-05-01 06:25:52	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.2085	  67.4447					  0.99	  57.64	 	 	 
10	2026-05-01 06:25:52	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.2243	 -3.7622					  0.97	  56.31	 	 	 
10	2026-05-01 06:25:52	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  125.453	  135.714					  1.01	 -50.46	 	 	 
10	2026-05-02 01:52:45	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  22.0006	 -2.9988					  0.97	  56.34	 	 	 
10	2026-05-02 01:52:46	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  126.669	  136.749					  1.00	 -49.57	 	 	 
10	2026-05-02 02:01:59	NA-I	ISE	82426101 / 81414601			mmol/L	>	  150.0	  110.0					  75.2085	  67.4965					  0.99	  57.25	 	 	 
10	2026-05-02 02:01:59	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.6125	 -2.9470					  0.98	  55.35	 	 	 
10	2026-05-02 02:01:59	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  127.019	  137.034					  1.01	 -49.25	 	 	 
10	2026-05-02 02:08:52	CA2	C.f.a.s.	768541	86119	88237901	mg/dL	 	  11.50	  0.00					  0.13831	  0.00477					  0.0047723	  21.529757	 	 	 
10	2026-05-02 06:25:36	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.2344	  67.5094					  0.99	  57.35	 	 	 
10	2026-05-02 06:25:36	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.4960	 -3.5681					  0.98	  56.49	 	 	 
10	2026-05-02 06:25:36	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  125.026	  135.494					  1.01	 -51.47	 	 	 
10	2026-05-02 06:33:35	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  74.1216	  66.5389					  0.99	  56.29	 	 	 
10	2026-05-02 06:33:35	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  19.6974	 -5.4185					  0.98	  56.61	 	 	 
10	2026-05-02 06:33:35	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  127.355	  137.215					  1.00	 -48.48	 	 	 
10	2026-05-02 12:44:14	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.2861	  67.5612					  0.99	  57.35	 	 	 
10	2026-05-02 12:44:14	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  22.0265	 -2.6882					  0.98	  55.70	 	 	 
10	2026-05-02 12:49:19	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  22.0912	 -2.5071					  0.97	  55.44	 	 	 
10	2026-05-02 12:49:19	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.1309	  67.4706					  0.99	  56.87	 	 	 
10	2026-05-02 12:54:03	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  22.0395	 -2.7917					  0.97	  55.96	 	 	 
10	2026-05-02 12:54:03	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.1050	  67.3282					  0.99	  57.73	 	 	 
10	2026-05-02 12:54:04	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  127.148	  137.371					  1.01	 -50.27	 	 	 
10	2026-05-03 06:25:55	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  74.9109	  67.1730					  0.99	  57.45	 	 	 
10	2026-05-03 06:25:56	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  20.4996	 -4.9138					  0.97	  57.28	 	 	 
10	2026-05-03 06:25:56	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  125.039	  135.404					  1.01	 -50.97	 	 	 
10	2026-05-03 18:17:01	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.3508	  67.6517					  0.99	  57.16	 	 	 
10	2026-05-03 18:17:01	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.9877	 -3.2834					  0.97	  56.96	 	 	 
10	2026-05-03 18:17:01	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  127.536	  137.552					  1.01	 -49.25	 	 	 
10	2026-05-04 06:25:31	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  74.8850	  67.1730					  0.99	  57.25	 	 	 
10	2026-05-04 06:25:32	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.4442	 -2.7012					  0.98	  54.42	 	 	 
10	2026-05-04 06:25:32	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  125.414	  135.753					  1.01	 -50.84	 	 	 
10	2026-05-04 09:52:27	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.1697	  67.4188					  0.99	  57.54	 	 	 
10	2026-05-04 09:52:27	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.5736	 -3.6458					  0.97	  56.84	 	 	 
10	2026-05-04 09:52:28	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  126.010	  136.193					  1.01	 -50.07	 	 	 
